question,duration
bVxIKizEZqcOHAtUBCLrP,618
cedRWcOca,422
n,530
MJunJ,287
PSxwMDkpVdpPPmMkvQzMPMzmv,526
OeNujiqMhRMxZqYNVITQFLfat,422
DljaRmBHVP,472
K,141
TqAeeGGOsayeZaiid,621
NlrPLOmYMZqH,542
xETBnrbhFb,264
MsMopQF,167
ReYOZ,613
HuOkwoGMjfyz,364
r,759
GeRegVvr,565
tUcZv,375
oMDBOXQZoTV,932
TRibibvfrV,512
UEZ,306
vXnsKKeWRvXUOo,596
MFOntGwQ,544
OupyXNhMOUjVDsG,582
IsRcm,753
cJcrTBYYfMOJsQ,306
vyvOyYRbkdQgIsAfelbohRfb,333
xOAwBtmfSwKEpYp,871
QmhGWhGIMrvodaRacatwcYZz,325
QRMJmsdQDOgtFXhTSqWHdFjjbPJ,656
roycD,838
TFWc,752
AFCgCUKZOnRWjfYXGfQa,887
eulM,111
ShbjkpWHaCgIH,599
DqpvBvXwUntedYgKyfsYslKCiAqRV,725
GY,772
CcWqiiCdoqNVwxNkedJXwzScVQ,420
gs,828
XMQZIeIMC,638
cDoozHPdtFuXbglQmPpfaFWCNHGlJ,875
ZvyxlRcjBqfswv,21
xlp,874
CfRTeKwFQdmmfVfpqlXlSDZHY,888
rNdKIneNxIvWnrOaoRCo,943
blYrsQFiCOxvKWEjrAsPDzKxhf,170
mjLgOGYauEgmMmxBzA,347
LR,601
KeaQbsnmRMhHfErVCEkcH,569
dqLHkfzZyqoOobgrMLdCifPGZCbbiu,673
zPAIhgbdQSDjSwUMITalAEnGIDKu,999
