text,voteCount,poll_id
wXgwbUXmExZAqY,372,421
dJStFJtVTQqOCjYYKFPwjvFKLQnmKD,139,740
yLUuEMaNwExpndMYYptSXZv,585,876
ExoLZAnxWro,967,210
zQeAydAJIwkGuKWiVZLRcElhreuxvw,819,361
YVeSelxWdEtYtJHV,450,678
etgDUdmb,437,980
cTVyrXOaoLCFQUOEXynhaz,155,48
hXJISTd,304,359
cdpW,238,785
VIhYOTAybWXyBzGqRe,75,644
wKkOqxJSqDjAtcDF,780,379
MMSKu,599,900
THjDRbPaqGjvVLsIUO,107,195
YaahxwwkK,693,88
aNVLssRUe,855,76
MedmIqFUtdxTB,761,993
RRVabC,436,202
DwmrfUyJVSbdBFIyjTfpDItaXB,672,595
IQrWtYnHcO,850,925
XgLyqkDjxtCDIj,858,389
GGiDYDmCRViOaAXNumPGEBX,770,669
O,56,597
bplgXS,905,978
PAgcjtZAOBahwMGwNikIaKuxYYVASJc,458,826
IaSPolvldIfZTciudeieeoLVjkmgvz,672,53
BItmxBtJpbqEfQgWhKXmKMICCEU,203,145
YIvewgAhbiAslSgvGJGPPEpl,376,586
FkG,769,945
BXjwiQjQKBhPbNYa,174,592
oDLDPR,4,204
JuhuUTlSCYdTVoSsJGyClHNnCWZGwZ,173,176
ImfitPVWqHXHNeZIUAYI,756,409
ToPMiWqHMXgOUxQpXiGHHqr,288,604
JUt,567,721
jWgnTkIeIrtqMPl,106,792
BIJtaer,475,338
QEskqEWDSDObmCGpVd,842,560
IgYnmBOoTiRwXILYPxNoVlgkbSZ,736,353
tOXr,811,480
rDetIVodUvethundXqBJQ,991,348
qPFJOkHIpWuqUBpPiSGKutNzPuBDe,188,906
ZfevGGIyInuRGUCg,666,895
GcGUaENkutTuUTC,374,17
nBJbTUuAgHABZTPBC,680,998
VaNvgPNPNdoDlMXoAwSuSKKPcTH,596,684
ZBzhTZzyzEYLAEhIrdjvCmERMl,919,595
QwRtlgJMzFfzLvgGOdyoxJF,259,64
IVsRIMiVnPwvmkahoHdVyCizi,3,192
hprfcQEahQopqOKigBgIR,729,55
