text,timestamp,author_id,poll_id
GsdXQSbMazTniYZanZqNTl,2025-07-05T20:24:55.298124700,594,252
kfPAjvyKPihCrCmzoRxLcQsxVLytaE,2025-07-01T20:24:55.298124700,958,853
SEowKE,2025-07-10T20:24:55.299124600,406,689
LmsDjaKUHQGcw,2025-06-21T20:24:55.299124600,854,970
fpMv,2025-06-15T20:24:55.299124600,665,527
tcjfPJOVHQjmVCgCePeHOE,2025-06-27T20:24:55.299124600,714,623
yaVUnOnIbTeygCJPTWqGbAIxv,2025-07-03T20:24:55.299124600,803,634
EMePviztmdfqpvNrRqHVbFAphbnBMTI,2025-06-29T20:24:55.299124600,54,488
ROL,2025-06-24T20:24:55.299124600,387,118
ytPfLdSDzTAVPwbGXOu,2025-07-07T20:24:55.299124600,150,770
Pomfs,2025-07-09T20:24:55.299124600,907,718
EzkUDLepGW,2025-06-22T20:24:55.299124600,246,393
iPMA,2025-06-19T20:24:55.299124600,416,818
OQVnUwQPraJHLPr,2025-06-27T20:24:55.300122500,34,846
y,2025-06-15T20:24:55.300122500,331,724
XdgmWNbwLUXUeMm,2025-06-12T20:24:55.300122500,86,964
wWThmFgf,2025-07-01T20:24:55.300122500,31,93
rlF,2025-07-05T20:24:55.300122500,835,798
CgyZxbpsUGupqoy,2025-06-29T20:24:55.300122500,383,766
QpVRFpRXlWkaZgdLUFlWyKvdrHf,2025-07-05T20:24:55.300122500,59,408
KgZIFWDnwypaEupdRXDoXqDqJYSu,2025-06-23T20:24:55.300122500,921,415
EuOxsDtMWutbmjqfypdBQigZk,2025-06-28T20:24:55.300122500,806,91
VfaVtB,2025-06-30T20:24:55.300122500,888,376
T,2025-06-15T20:24:55.300122500,40,1000
hexbZwMuoE,2025-07-08T20:24:55.300122500,781,903
MhthsxzczLQLnnaShLWsrKonDTdxYM,2025-06-21T20:24:55.300122500,382,963
grEFTmbXZsOtJZgOSYbvqFYoiR,2025-06-27T20:24:55.300122500,135,363
AvQVzKwsYr,2025-06-20T20:24:55.300122500,375,747
JoXpjgfJSbfvnFX,2025-06-28T20:24:55.301122600,800,95
vnxIBe,2025-06-30T20:24:55.301122600,527,167
fp,2025-06-23T20:24:55.301122600,524,430
VNAHfDSY,2025-06-16T20:24:55.301122600,350,985
vGOosmixlhAkVJqloTKfzouiPpa,2025-06-21T20:24:55.301122600,647,132
WXBjxEYAukF,2025-06-24T20:24:55.301122600,660,797
KNbgNP,2025-06-15T20:24:55.301122600,79,469
kMqmUbi,2025-07-06T20:24:55.301122600,274,610
OcAqemov,2025-06-18T20:24:55.301122600,608,209
uDfYPYRKGLkCycEvgJBLFguQPIDKGTe,2025-06-12T20:24:55.301122600,708,13
LyuwQleqFmPPghIgjPIbCvcLfvZgLto,2025-06-29T20:24:55.302122300,435,838
HPdhkNUhzrzgPkCDqfMwHikwtySGb,2025-07-08T20:24:55.302122300,693,981
IgOGiJvvkrWkCNNzccNM,2025-06-13T20:24:55.302122300,586,509
lMpTpPHdOpcJiiMIwxsqgTGQIdWDuD,2025-06-27T20:24:55.302122300,333,773
iHIVvNkATvQKBNBcIltsNMyznxPlsr,2025-07-07T20:24:55.302122300,25,804
ucWTgYTk,2025-06-28T20:24:55.302122300,369,667
yMPChSB,2025-06-17T20:24:55.302122300,455,165
LsBVdlMNlSsOFvnyYG,2025-06-25T20:24:55.302122300,645,746
vMfRBFBQTCAXujDhGGHwUpKLx,2025-06-29T20:24:55.302122300,847,109
nEOxJtAzCNYJESqYyrownyle,2025-06-23T20:24:55.302122300,650,10
tAnEMeXnRAVNUSkRy,2025-06-17T20:24:55.302122300,787,627
rsiAhLzZQryGvbioU,2025-07-09T20:24:55.303123500,879,767
