question,duration
DXNFozUMJkmqDOt,578
gIuJZjLwBb,118
QKbGYUDCaQ,931
INnRcufCUEDOXmWxwwLiMiLMCGFgh,703
UqecvgMNfrplvGtNhRqJgT,703
bdqbhFuwMrNFkoeANEDnQbVFztc,75
vliPL,576
gmHvzYGrFWkIEuOxnIvsHzwDEzE,605
F,796
QRVXADfPMCWcSUemDA,819
vVeWvBZVCfaLdjkTPbbuApSkLifLL,601
ZZTaePgmcwtKTHSicYPfzGlq,653
iuKvENLetRyxGVI,478
FpvCceffkQGzf,436
fpvbIkcUYjSIbFyKwEColZJAXRKjFd,863
diLWAp,298
jgithCycC,106
wkULlcObAKbAJPqcQuQkfVcOirmfJCb,56
rVinRfQswOhjwgnasFKVwQxC,457
WugzBJixiqwQtrp,400
qIQtWPVtvaaZysIsoWYpUlEPe,482
eFcZigjnKjAbxN,499
FwFoiZgDvZjzeeK,190
hwRrHUcWnzgKJwaunU,545
uSseQMuFDEdizUthrKsJoMOs,229
tt,93
XCTGXVBocJaRcunKIbNnKj,160
zTIblsYuRbBtXtWYEhZrbhZ,717
mpYCnDXMFqZjWDGqCdLafALjRctf,265
PXKOqc,387
HNyhYyToJdBStzv,619
tCwegsbFJZVjKCGphTCOjuwJwGG,248
NiHYtEzKTOstbKYtxRG,505
erbLBlWtbUzxFiMLfALrfCGnRH,478
Yze,186
qSbN,771
wQnClYh,936
CLtNAgvlDdRp,634
BekBEeiqTpf,315
jYFCMBofOtiuXqOjlpK,456
TGONEmNbCYeoLEatFiOSKd,929
xxJCGyUDQipVTVfKNuFW,92
JZCgjpqYJRRoWBmHN,932
KmYViTzIDLtnfWHhZphMT,895
RzdzwYSNbVLjleXAIrZKKMvXj,275
jCUymktWGYpDNkq,167
OhYYeOOLtmSAjtKtRMspf,166
eIGkSoHTAZavHwbDwTjFYr,178
bitPRz,169
XTWWPHjLOmNyT,279
TP,721
QafGGY,61
NxdwIQPRrMHnHlB,328
sNSpXXyqLtoPiVqKmFk,697
BqdXTnxNylAfHlvNAIFP,358
CxsmgAeHbXqAcPNEUQywTUyLARcwZe,132
Bk,437
mTTnZQCEiRclEvqeE,351
BktkiMLtaNpDwbpbOnaklsXh,738
BkkidOyGcuByHMlAvJSzjKeTLbEZ,345
kyyKkJcpWac,319
S,708
bpzoAAaHEwKZGUqogrGSUWeLgglzRzA,362
goXjbopCJJLewicKov,101
EZkyte,888
ibowkjLlcpkmfQMgyGxcJHBOlfxgOVX,631
EejRYSPz,923
lHgzOkAXmiXnyAIVuaPTAeOsSIRI,968
BrWPCHTkthff,197
ihgoosZWlQxpUtAk,991
JmuMbQLCFKpgXK,583
RMRIZUsyjOQprHEbQXBhVmvYv,673
iRDJmWxzqeVOwoearbDP,807
CUPhlFGJhk,806
MlKcmxPcklMvijXX,355
zZeWUQVoCcmHsYtazK,970
lAHEaFfKwquciGmxXVyCld,615
zsx,290
dXIjOzatavWbvsjkwhdoz,637
nlubEUhqn,555
yEwLXvKqUQiML,642
LYZTapPyaExqTBmwqwyKFgVETN,993
cYTjUq,269
xvqzQlNgWYtjdrVBexUjeYzf,603
lAbXbualVgJ,743
SMPFNLkTNKpzDMPch,9
xdjPFVFdKXOrckwRQApiSveb,378
IueCRmDlzzXKmHiBlOEgWmnLhQkbppj,473
KVAISgMcTgehXEuvnLPJM,81
tSIZzHStAyelbRPD,476
GfkCUaIGgCQAiVTncApnGwjGebmVPWu,762
tRafnHGZDZQhIpCAR,673
YxCYZVswXDASCayQQFUFwcGKrbVKQA,462
nabIYsS,401
kDZwCPXaXZQopdB,72
NGBDnfxLmvImtxfkECaLow,880
xwgDFtwdnyNEc,126
edhFaNN,228
HtIVrQeGHwEmXSH,784
fInFlxhvwZDbEgwHkEHnX,571
vfKiAOXLIx,656
pmcSpWBNtsXucED,910
YFujFjPchq,825
UBDJ,839
QGcJiYrvGfXtpnLBWtzzoZNOVCz,743
XdYRrTqcDNEMZgNyYHHKMMndt,735
BpwoegVNxeu,669
UiXISsxmLhF,5
rmOgjMUJNXsHWUF,148
PmZfkUQEfYjzpJZikG,456
DtveCSCHVwHYmaKTQEZGAibCfCui,377
UctuXFDj,639
Nkw,501
AHedMziePJxMDsSavYsvDIvlTqeAr,805
eYIYhyBbKfDLXToJbSqKzfcejZTaIE,503
OYEttmavcqvIF,376
KKROrZGQAYNZdzkRXML,907
xDfIZiQnlHbqTJBGDdug,380
TIj,336
uCpMXt,318
t,980
MiqRIApJFoMwRXpbeJ,234
cjnmosQYgDl,95
aDBCyjUKNoTSvlTSqdhrz,570
f,537
JoPvULhVhCyRegbmpaLv,377
nfvwOJfVjaYO,582
GgQXVniDNIWdpkpmpnyui,99
ZOJX,6
DGmMBDUYjTFXmjlqWeLxTzvm,295
BrsbOahYawHABBlmVGxliAX,692
bNmIfFyNudhebGAWkpAB,69
QKDmcwpSzVw,34
JCQvoGyuRDrVclPEqCRzwAk,969
zNGhmZyxdjRHUbX,118
Gr,680
dDhpZKgOUgNPnTvpERCPyiDBSyzFIl,95
ddnApjeaBxUNqGXWyvxrGvQeLUN,875
UQvMJmjmkLjLDFGyMSrsgP,509
fqpujcDRsMvMMqWPCOqGDfo,374
aVnLk,956
jBtliGHFhecZDrqFrkpSevReNDbuK,478
pxB,306
MrPzgud,900
TfBOPOqbDFrKFTBDkEz,972
gaZWWMhePiYkLxY,605
qEDpZ,200
dFgaciRVL,641
PoucudtuWjhwTwCWSRlXIgAwXPv,78
PmDpIzmFXnLuZeLtgomigvVtS,473
AL,638
koFmHF,445
CmToplcMLnVjUuCreTeCHofqJ,107
loRFldXkyuaUhiIGJrTlojWhDh,160
djmTW,638
pLsbIp,422
eLN,26
OqmNvYmCESLMTxotpvnWs,732
QPS,600
FsmkBqhYIj,17
I,407
fqFyClwrmtkG,112
KOBVYpDIxCoqkyJsneSgvSWyKA,827
AxmxPgPzhcOtvWeYNHdm,756
KRVFlmMnzTtduGcTDpehpiH,832
ExRdBhJunBbBpuSy,165
eUQQYeudgYhCvcdLblMy,125
CKwIAILFFkU,131
GKsqskIlMyZVmHWXzRXYhD,857
XwdOpwbCrIrLUE,976
DeQPKM,734
vN,567
DrfCDryoVHIGwglfZ,704
NXSFZPoOWzIOfR,975
EqZzYdLLAQXpsrmbQ,951
VjVyVdP,721
CFcQ,281
RMpYjJdanEzhpIAqDCgsVYrf,736
ovulfAzXUxpYdBF,994
pWJiVfbXMXFzoxOUfQesQaXAA,185
CkzdeyrDsCpfFrbNRBC,957
mOrRsbaUqEGkzMmDmkwAQL,553
LynYVSfLGFbAvbuL,499
npYhUcIMSKUkakUieLETBmJ,421
aOAPUhaRJyDNcXzoXlvmFyTrZasaLnZ,798
LHLwJKzFJRLSGOZDGOJrpVDUxcAz,535
bwPTOIVIWlPVGEI,520
Pju,405
gJmvhkVYcJPCWeZ,139
NlKwnTM,167
JOffVYEFvgGpggycN,631
LiYQdwgxGVQjSBJkMlghic,253
YLaQ,788
XQbXvzBGlTAgCSkvSFzIGlIyLSbitf,434
lWDGqBTcDyeinhatqawoQPXMRLT,721
ApOLXoAEbvmWfxrp,840
MKMeqBsGznfsGcWTnOTKSUCbx,865
cBHqOBLWlPqctD,428
HPbbKLosELkN,865
ugMEsqoXumigcCMOIkx,941
wZKLgUzqRCFBRQHtmid,561
ibQinA,111
IyrgK,328
ieEaN,479
JwWFRcUEEaHpCoDqMesbaJTxWl,124
fRXhyFICpyunUrkoPeJBtlxTOxVisb,704
hKQGoE,971
LBkzE,965
tgtoATcpcCThLdmiToVAodmTZj,833
FPZQRnUUlhTnhQsyUvSXkVWKQjIIxSl,781
tbwROAOQWFuaGMQhFFS,679
wNAeCIxQTvsMrlAABhbSY,533
JbFmvQhpWKEYiWCitGFuKWyn,746
E,533
PzeFCCKFAcsaJIxljHCOfDDSwwgCAH,226
QBnLXuqmDwUcLyMwhLQMytjnFOf,9
GUlR,289
LbGWSPwy,501
LOXfdvJlFgoNOBjRJb,704
CTXIM,793
ymPPutgzansMVzk,811
iqHTrePBkpmOGUmwAxVahMgdHzx,451
hneFyxBDapfpoAPsNJKICrBvBrUi,13
XEUqFD,478
yIiKmEIZL,847
BRLghqvdlTSEEnuONkSaQDNUQSNAqi,969
Yc,323
vYdApXZAh,423
IqyE,678
qOanmdQlEEyhkenyvJICJC,638
auMj,865
pIktrEvSURvpTAfhvDXpAHENtgMGC,730
GqkuNrlkfGmUrpKSypPydvieNlHFrV,342
iMolEMCpZBCKY,52
SUvxVVeHwYEJWJWYZEdEpJRQgtqsYD,514
QRZSpMFEdJJYWmjZuvhyzJVj,83
NQUaTUTszHrPcEhnzYNcSdxnWNZTrl,557
vsWDhfabGkoyyIOZJrUcYqKfFzFax,583
lp,317
tTQbeDutrok,261
DNs,450
Yt,838
EuLrqGokeaPwBFZZHqRVUSQrrdOr,147
FvdQTMPVZrbTfhFXaUDfYLFQmN,152
BIbakiVIxDvRIKTLzDOZcBSE,602
bUxmfkbCR,5
waeSBaDpeJgoB,6
VqnBcGxolrkbU,505
IXs,304
QEbMySCfHURZbKZnxv,96
BDLFvVCrrIPMCdBCtCyhSO,28
VfAxrlHwTQrfYdajaSkDgLLilCB,461
ECfdTYzLIjkMjeX,638
OcsbyMIFzMlU,132
uAUWbxudYB,593
PKTsxsWhDFaNVKjYZg,941
XjMsYrT,130
TtNqSdZKPpUbgA,222
VROixhGudcPmBfVEKtNpMevqjOJIQPx,219
HxhC,983
LhSACtSCO,896
ooOqmzMYO,181
irHGzpzUkOBqKtNemX,745
UJyZbORR,172
Crx,793
oWzOTmPYc,619
ZQNEQnBfYNL,608
IWUhcDeBetNOZLIyxBalkXZgpk,722
mRckQvKqnuzZUoFyzjr,468
mIGkvWQipq,200
sQLcPAohgREKydgkJftt,99
PhhDClpYuiSOBGTlP,455
OZDcmOQJwBXOretDFelaGpgBwQHyl,861
rEscbiyouCxuf,239
bOWuRORGuqnRtJEddlpjWqwejlgbnBM,890
YyVzwNlHYDHvAMRJmuRtwyS,855
sVkjRNNHaWPbTIjDheuPS,523
PweZunCRlpcuGL,280
rMdC,238
oIOKrFrVtAWtXRJbgjbFk,338
ayzXbjjZcmmPiMbfNgTuER,67
vsLabNeTLXjUbXPYIltsqoEATi,902
QLanleoI,293
QOcIHPlrUKjRG,119
XeKkYWYWtwwpse,395
jrLgwtqfX,438
zjrwuYQJEf,122
VSYVeHAZAVVcHbKaTZaZUyI,385
nROMqlCcPRAZjlMdKGV,903
besLycqJZHnezSUhrhUxccDIM,875
