text,timestamp,author_id,poll_id
BdPVpl,2025-05-13T00:45:56.656366600,534,433
IXhcpLZCPXDeUXSZJcJ,2025-05-01T00:45:56.657428600,121,388
lgtEdNIwGpnsTuPfe,2025-05-10T00:45:56.657428600,750,325
WLcyteMqKSnocpUXjGrvDWlif,2025-05-09T00:45:56.657428600,111,319
tLAHfsUkPduszmnvbTvgVMKGSniwGZQ,2025-05-04T00:45:56.657428600,860,163
nGUnnbwqAgEOEYojmSCcJ,2025-04-21T00:45:56.657428600,680,878
KtHYZyUCqOJDnuiOvXutRtuPrvcw,2025-04-19T00:45:56.657428600,32,821
KDdIxItKGOjLELnELMLh,2025-05-14T00:45:56.657428600,637,2
umykPAqWKOSBsQ,2025-04-21T00:45:56.657428600,975,76
UnXscXahEOVpUdD,2025-05-05T00:45:56.657428600,494,258
s,2025-04-19T00:45:56.657428600,739,495
ryu,2025-04-27T00:45:56.657428600,346,661
pFZycpyHBXELbGsGWggcgSfq,2025-04-17T00:45:56.657428600,693,431
DPHXUSvKHofNrsKMZxawhSazJNZkH,2025-04-30T00:45:56.657428600,63,965
fbiKxmmdvLaoFrMobinVrreiH,2025-04-26T00:45:56.657428600,732,795
dLGcxgOFIwQJecLEeuhmdAm,2025-04-20T00:45:56.657428600,427,197
W,2025-04-19T00:45:56.657428600,179,498
eOaCWSekhYDsVBZtcuAPyGaLJORHcRK,2025-04-24T00:45:56.658461300,563,407
gOHL,2025-04-22T00:45:56.658461300,362,835
QgbxCfULGNWQDSWXXOMaheiMiBSx,2025-05-07T00:45:56.658461300,786,723
iaB,2025-04-24T00:45:56.658461300,838,162
YnYuPxFJTRYxXXK,2025-05-06T00:45:56.658461300,272,664
O,2025-04-29T00:45:56.658461300,776,552
cCspz,2025-05-03T00:45:56.658461300,236,574
eXqnJQrJULrubXGocR,2025-04-21T00:45:56.658461300,113,893
JpxvSlwQtwbeC,2025-05-13T00:45:56.658461300,619,339
FpnuZHIVnOrPUWRgsVKrtqi,2025-05-07T00:45:56.658461300,188,963
GgLgfeOISXzyyDtig,2025-05-09T00:45:56.658461300,601,654
rcUQveKbySQuWwsAukKHqjwNzkkPAZ,2025-05-01T00:45:56.658461300,17,292
eDZVdOGuFIQcnIEQeBtTDLZXYtnIFv,2025-04-24T00:45:56.658461300,437,40
YNbfNCWYNvXXcyLQkFwhL,2025-04-17T00:45:56.658461300,561,131
QyaiJc,2025-05-15T00:45:56.658461300,800,668
rRrtHwIWLCvsYpzPnwilFdEJPd,2025-05-04T00:45:56.658461300,746,941
uTwRhS,2025-05-03T00:45:56.658461300,483,620
mzstHUbvAekNRlkecuiY,2025-04-18T00:45:56.658461300,102,678
lPbefjGyZ,2025-05-12T00:45:56.658461300,60,543
vM,2025-04-28T00:45:56.658461300,23,357
MImYsMSF,2025-05-02T00:45:56.659368700,491,795
NlsIbreFQDLbHfvgSyNUjlAdK,2025-05-08T00:45:56.659368700,969,201
xGjNIQaFLzdpqvDt,2025-04-30T00:45:56.659368700,838,933
EftYbQWLQvMKsTwKSz,2025-05-06T00:45:56.659368700,553,657
dW,2025-05-03T00:45:56.659368700,842,202
sKCGiURWSdRISeUmdraTgdlA,2025-05-13T00:45:56.659368700,387,61
yceW,2025-04-30T00:45:56.659368700,115,113
qdOHtDielwNZH,2025-04-23T00:45:56.659368700,160,802
mvKOMbeBnv,2025-04-27T00:45:56.659368700,559,640
arT,2025-04-27T00:45:56.659368700,809,567
wTDTJOCoVOVb,2025-04-27T00:45:56.659368700,322,114
xDQBADJ,2025-04-21T00:45:56.659368700,103,111
dpuLALSLpplAkFJnJfnScjUyvrVUo,2025-05-03T00:45:56.659368700,586,492
MxQXAdy,2025-04-30T00:45:56.659368700,349,208
MkgmMMwYKYhWaAVhwkq,2025-04-29T00:45:56.659368700,355,273
mmslYtLEgLf,2025-05-11T00:45:56.659368700,148,232
XCDiqYsRXmnZvwVKMnyvfawtblwW,2025-05-05T00:45:56.659368700,748,406
vRKuXY,2025-05-13T00:45:56.659368700,594,628
oJatyT,2025-05-02T00:45:56.659368700,558,230
BTJvsJmfHNAyzXeFHTIAVYOy,2025-05-05T00:45:56.659368700,201,812
KflQXrdWbumXephqXPwz,2025-04-17T00:45:56.659368700,888,774
OocVQZnbIzqhkQMsdTNycgrNrd,2025-05-16T00:45:56.659368700,663,361
DIsEUzcwlDLQIVYjLlQ,2025-05-07T00:45:56.659368700,922,639
nKZJ,2025-05-14T00:45:56.659368700,409,530
Rn,2025-05-04T00:45:56.659368700,944,374
odNkJuLkHZFVqepd,2025-05-12T00:45:56.659368700,373,22
tfjqDfIgSXOfWVpfDaMdq,2025-05-04T00:45:56.659368700,524,905
mEfJvxTTadISdDTtSbSWZQDZ,2025-04-24T00:45:56.659368700,716,308
DHAvzJCtOAcdJwGwCGXLlj,2025-04-26T00:45:56.659368700,12,883
FruacvtLKQSDadDxH,2025-04-21T00:45:56.659368700,370,486
mToYksEmHJvWGrwZEWyq,2025-05-06T00:45:56.659368700,215,761
YsPkMWWZ,2025-05-04T00:45:56.659368700,294,882
wPnrtSGClkqP,2025-05-11T00:45:56.660366100,502,561
lzIjSWpbSCYBauVBxnCOYOVsGk,2025-05-16T00:45:56.660366100,560,383
QWkJBwtQk,2025-04-20T00:45:56.660366100,991,363
hoqbzDqKksGRgyF,2025-05-12T00:45:56.660366100,118,288
IFpNMYcDAlpCfntsZ,2025-04-18T00:45:56.660366100,632,333
plRlBTeGESBWzNhAJkQuZMlzShfM,2025-05-08T00:45:56.660366100,528,444
yjweJehIZk,2025-05-01T00:45:56.660366100,267,529
HeYsntAohHqgifJaNCuTSp,2025-04-26T00:45:56.660366100,688,851
Hg,2025-05-14T00:45:56.660366100,780,787
DjpqHn,2025-05-14T00:45:56.660366100,915,674
HIngQnDlxALzw,2025-04-18T00:45:56.660366100,380,684
